Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,305.000000,305.000000,295.000000,300.000000,300.000000,12395500
2013-08-12,295.000000,300.000000,290.000000,300.000000,300.000000,11034500
2013-08-13,300.000000,305.000000,295.000000,305.000000,305.000000,13281000
2013-08-14,305.000000,315.000000,305.000000,305.000000,305.000000,10817000
2013-08-15,305.000000,305.000000,300.000000,305.000000,305.000000,7030000
2013-08-16,300.000000,305.000000,295.000000,305.000000,305.000000,10075500
2013-08-19,300.000000,300.000000,295.000000,300.000000,300.000000,8404000
2013-08-20,295.000000,295.000000,285.000000,285.000000,285.000000,10329000
2013-08-21,290.000000,295.000000,285.000000,295.000000,295.000000,7785000
2013-08-22,290.000000,290.000000,280.000000,290.000000,290.000000,8274000
2013-08-23,295.000000,295.000000,285.000000,290.000000,290.000000,7819500
2013-08-26,290.000000,295.000000,285.000000,290.000000,290.000000,8523500
2013-08-27,300.000000,300.000000,280.000000,285.000000,285.000000,5286500
2013-08-28,280.000000,285.000000,275.000000,280.000000,280.000000,8393000
2013-08-29,285.000000,290.000000,280.000000,290.000000,290.000000,7653500
2013-08-30,290.000000,290.000000,285.000000,290.000000,290.000000,6656000
2013-09-02,290.000000,290.000000,280.000000,285.000000,285.000000,7610000
2013-09-03,285.000000,285.000000,280.000000,280.000000,280.000000,7945500
2013-09-04,280.000000,280.000000,270.000000,270.000000,270.000000,9025500
2013-09-05,275.000000,275.000000,270.000000,275.000000,275.000000,6742500
2013-09-06,275.000000,275.000000,270.000000,275.000000,275.000000,7039500
2013-09-09,275.000000,275.000000,270.000000,275.000000,275.000000,5712500
2013-09-10,275.000000,285.000000,275.000000,280.000000,280.000000,10394000
2013-09-11,280.000000,280.000000,270.000000,270.000000,270.000000,6332000
2013-09-12,275.000000,285.000000,275.000000,280.000000,280.000000,11517000
2013-09-13,280.000000,280.000000,275.000000,280.000000,280.000000,5137000
2013-09-16,285.000000,295.000000,285.000000,285.000000,285.000000,10396000
